Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
83,2022/04697,Granted,Dr. Abhishek M. Thote,A nail rubbing exercise machine,"Dr. Vishwanath Karad MIT World Peace University, Pune, Dr. Abhishek M. Thote",4/28/2022,6/29/2022,2022/04697,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1b4EzmNvwdJR_1-IAH7SS2wjWGdpKr94l?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,10",https://docs.google.com/document/d/1XU5EPp0OUNnAfBlvqAhTrhDyAKUIn6Gd/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
84,2022/04363,Granted,"Pankaj Nivrutti Dhatrak, Atul Uddhavrao Palange, Atharva Jadhav, Tejas Jain",Wheelchair with a Transfer Assist Function,"Dr. Vishwanath Karad MIT World Peace University, Pune, Pankaj Nivrutti Dhatrak, Atul Uddhavrao Palange, Atharva Jadhav, Tejas Jain",4/19/2022,6/29/2022,2022/04363,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/12muOTKP56i3Tfr1aBw0QipTTZGRPFB-7?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,10,11,8,12",https://docs.google.com/document/d/1b2JNSKqhKrJOabS8xZEv8uhzemC-MtPz/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
85,2022/05909,Granted,"Dr. Deepak Hujare, Paresh Patel, Dr. Girish Barpande",Inbuilt Two Tier Jack Assembly for Vehicle,"Dr. Vishwanath Karad MIT World Peace University, Pune, Dr. Deepak Hujare, Paresh Patel",5/27/2022,8/31/2022,2022/05909,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/13IY2e-jmHvdNyHoKF32lxp01qQS1GsGP?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"7,8,9,11,12",https://docs.google.com/document/d/1DwtiUBQmqKlX5e1RwFGa5hlIXAIkiVzg/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
86,2022/07457,Granted,"Mrs. Spruha Aniket Dhavale, Ujwal Sunilkumar Bhagat, Yash Alhad Bahade, Shreyas Ravindra Bathe, Aniruddha Sarjerao Kshirsagar",A secured under-seat storage lock for Mopeds,"Dr. Vishwanath Karad MIT World Peace University, Pune, Mrs. Spruha Aniket Dhavale, Ujwal Sunilkumar Bhagat, Yash Alhad Bahade, Shreyas Ravindra Bathe, Aniruddha Sarjerao Kshirsagar",7/6/2022,7/27/2022,2022/07457,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1Jgd4arODXLX8K-KONb1BZLR8vLJ7itkP?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"9,11,8,10,12,16",https://docs.google.com/document/d/1ixS9yZyJ_bGmkVzSraB0DIB--Ek_7jup/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
87,2022/05271,Granted,"Chetan Patil, Ganesh Shrigandhi, Gautam Narwade, Manjushri Patil, Arun Mali, Vivek Naikwadi",Reliability indicator device for disk brake in modern vehicles,"Dr. Vishwanath Karad MIT World Peace University, Chetan Patil, Ganesh Shrigandhi, Gautam Narwade, Manjushri Patil, Arun Mali, Vivek Naikwadi",5/12/2022,9/28/2022,2022/05271,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1X03ah8BHWyvOOgyrKqXuidPdy0LR4Ekp?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,11,12,13,8",https://docs.google.com/document/d/1II_ArXu7vezdmZcNtonFiVnHMvnvYgmk/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
88,2022/10772,Granted,"Swanand Pachpore, Ratnakar Ghorpade, Saibaba Nargund, Pradeep Nargund",Thermo-Mechanical Engineering load simulator for root canal obturation,"Dr. Vishwanath Karad MIT World Peace University, Swanand Pachpore, Saibaba Nargund",9/29/2022,12/21/2022,2022/10772,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/172ZvJ0-A7GKpPWBHaUuXhA_YNhAYZG10?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,4,12,8,11",https://docs.google.com/document/d/1nJ1ILLWecgtvO_9IWOiEzGUw15O5YiJq/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
89,2022/07838,Granted,"Nitinkumar Anekar, Kushal Khandelwal, Amit Nemade",Experimental test rig for measuring the transmissibility ratio of two-wheeler shock absorber,"Dr. Vishwanath Karad MIT World Peace University, Nitinkumar Anekar",7/14/2022,9/28/2022,2022/07838,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1f-5J8exgA44brXgYkKXQbyTLOVDDygc7?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,11,12,8,7",https://docs.google.com/document/d/139rORIjsD-XoMcJSx0ND3IgIONPmC2xf/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
90,2022/07705,Granted,"Mangesh Saraf, Shrikant Yadav",An alarming device to detect body fever and weakness in real time,"Dr. Vishwanath Karad MIT World Peace University, Mangesh Saraf, Shrikant Yadav",7/12/2022,9/28/2022,2022/07705,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1hn8WdOrxsonRZbRAGNpq3GWj5j4wAH0k?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"3,9,10,11,12,8,17",https://docs.google.com/document/d/10PVOFPrVrA-4M7tctuA2eYRBQD8rtmGK/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
91,2022/07701,Granted,Rajesh Patil,An autonomous tungsten inert gas welding device,"Dr. Vishwanath Karad MIT World Peace University, Rajesh Patil",7/12/2022,9/28/2022,2022/07701,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1w-MbsgynvIEZvCnet2AfplwruoThL_pQ?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"9,12,8,11,13,4",https://docs.google.com/document/d/1AylRckDPIfRSE4xrPEGMzRtlA4DdvHs-/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
92,2022/04849,Granted,"Ankit Dilipkuma Oza, Rohit Sharma, Utsav D. Gadhia, Mohit Diwan, Ashish Kumar Shukla, Gaurav Kumar Pandey, Ramendra Singh Niranjan, Sabana Azim",IOT Based Self Sustainable Optimised Flushing Mechanism for Micromachining System,"Ankit Dilipkuma Oza, Rohit Sharma, Utsav D. Gadhia, Mohit Diwan, Ashish Kumar Shukla, Gaurav Kumar Pandey, Ramendra Singh Niranjan, Sabana Azim",5/3/2022,8/31/2022,2022/04849,"NIT Rourkela, Odisha",https://drive.google.com/file/d/1F5WOh_76Njm87k8zXGdKYUHrjqd18JXz/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Mechanical Engineering,South Africa,"9,12,7,8,4,11,13",https://docs.google.com/document/d/1iuvG_I6LjwSJBbEbgvvZ1jISkVFi94DN/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
93,2022/08079,Granted,"Jayshree Ajit Aher, Rohit Katyal, Anita Mahesh Thengade",METHOD AND APPARATUS FOR SKIN LESION DETECTION AND TREATMENT ASSISTANCE USING JEEVAN EDGE,"Dr. Vishwanath Karad MIT World Peace University, Jayshree Ajit Aher, Rohit Katyal, Anita Mahesh Thengade",7/20/2022,9/28/2022,2022/08079,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1_7-jfgIXDuwDCRgW8kwb-ReDqEF0fBRz?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,10,8,7,4,11,13",https://docs.google.com/document/d/1tovYuRddkMt1xDA88u7X42BH8bxUxNtn/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
94,2022/05907,Granted,"Dr.Sharmisha Desai, Puja Chavan, Balaji Patil",AI-ASSISTED SYSTEM FOR AUTO DIAGNOSIS AND DETECTION OF EPILEPTIC SEIZURE TO AVOID FUTURE RECURRENCE,"Dr. Vishwanath Karad MIT World Peace University, Sharmishta Desai, Puja Chavan",5/27/2022,8/31/2022,2022/05907,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ENqsAacgKO5_xMDbakX6R0PgPqmOKWRn?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,10,8,4,11,13,17",https://docs.google.com/document/d/1J2TlpKo_UdDzwt1UUA_Pa7tXvrWXsq-M/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
95,2022/05908,Granted,"Balaji Patil, Himage Pande, Amruta Amune",Internet of things based multiparameter measuring and data processing system,"Dr. Vishwanath Karad MIT World Peace University, Vinayak Musale",5/27/2022,8/31/2022,2022/05908,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/15Gyr9jxmJ5sxpdW0PEQaZzuMq7wJ7zvz?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,10,8,4,11,7,13,12,17",https://docs.google.com/document/d/16Tv379LHYIW-2CmO6hn3nFpzohDju18b/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
96,2022/06519,Granted,"Rajendra Pawar, Bharati Dixit, Pranit Jadhav, Aaryan Ikhar, Krutika Jadhav",An unmanned aerial vehicle for high-end precision agriculture using autopilot technology,"Dr. Vishwanath Karad MIT World Peace University, Rajendra Pawar, Bharati Dixit",6/13/2022,8/31/2022,2022/06519,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/14LXPwbrALTHj6U5LqOF4VxNE-jqHXbpQ?usp=drive_link,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"2,3,9,12,13,15,8,4,17",https://docs.google.com/document/d/1tkTIFf6bPc2AlHlQ_ynikjq7wn2dSw1a/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
97,2022/06517,Granted,Sushila Palwe,A flying pothole surveillance system,"Dr. Vishwanath Karad MIT World Peace University, Dr Sushila Palwe",6/13/2022,8/31/2022,2022/06517,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1B243npGXRiN5Ph4LuQ4yusvM5vNEHRRI?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,11,8,12,13,17",https://docs.google.com/document/d/1Q7jGF7fdCZzTUv2rpRrYQzHr_WbGE0WC/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
98,2022/08313,Granted,"Milind Pande, Mangesh Bedekar, Varad Vishwarupe, Saniya Zahoor",System and method for generating and displaying personalized television content,"Dr. Vishwanath Karad MIT World Peace University, Milind Pande, Mangesh Bedekar, Varad Vishwarupe, Saniya Zahoor",7/26/2022,8/31/2022,2022/08313,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1PEiRifgYmqPX81_j3FSfRPpdOw6Ofp0D/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"9,11,12,8,10,4,16",https://docs.google.com/document/d/1aKVN4hndT4v_tf5yVQ4UUAtkbPbKbG_9/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
99,2022/06518,Granted,"Aditi Jahagirdar, Rashmi Phalnikar",An integrated system for prediction of future injuries by detection of improper sitting and extended screen time,"Dr. Vishwanath Karad MIT World Peace University, Aditi Jahagirdar, Rashmi Phalnikar",6/13/2022,9/28/2022,2022/06518,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1KiGME-6eBObUuK1EzwKnaAaBRb5mKgHD?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,8,9,11,10,12",https://docs.google.com/document/d/1ci2cAR0GN99B-5xESN6mrMPA5vJljtLi/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
100,2022/07401,Granted,"DUNBRAY Nachiket, KATADE Jayesh, NIMJE Sparsh, MAVALE Shreyas, MANTRI Shamla, Pande Himang",An IOT based incentivised smart tech bin,"Dr. Vishwanath Karad MIT World Peace University, DUNBRAY Nachiket, KATADE Jayesh, NIMJE Sparsh, MAVALE Shreyas, MANTRI, Shamla, Pande Himang",7/5/2022,9/28/2022,2022/07401,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1SzswL7upBttMDN1ubvgvdJ1AIymWKR0Q?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,6,9,11,12,13,15,17",https://docs.google.com/document/d/1lc6M0WyGeb_15eCuk2Lpbhqc45z4_uLF/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
101,2022/08302,Granted,"Milind Pande, Mangesh Bedekar, Varad Vishwarupe",System and method to detect twitter spam using an intelligent hybrid classifier approach,"Dr. Vishwanath Karad MIT World Peace University, Milind Pande, Mangesh Bedekar, Varad Vishwarupe",7/26/2022,9/28/2022,2022/08302,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1xgiDK7TvsKwi93PpzsbRtbaWmngGdYy8/view?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"16,9,11,12,3,8,17",https://docs.google.com/document/d/11HCe83FZrMi4QAN65jg9HLgSRqXdNnWh/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
102,2022/05835,Granted," Jyoti Mante, Kishor Kolhe",A system for distributed denial of service attack detection and mitigation using fog nodes in IOT environment,"Dr. Vishwanath Karad MIT World Peace University, Jyoti Mante",5/26/2022,8/31/2022,2022/05835,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/136LNRIaZzDNOOphXxZ2L8mdcX_KvXgZV?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"9,11,12,13,16,17",https://docs.google.com/document/d/1IjmbNRBiEBMejsr4s59AKgY062Dm27DI/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
103,2022/04696,Granted,"Anuja Askhedkar, Parul Jadhav",low power and low area mash 2-2 modulator for portable music players,"Dr. Vishwanath Karad MIT World Peace University, Anuja Askhedkar",4/28/2022,6/29/2022,2022/04696,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/15ybPyr4ndOuwi9FdImsW3Tgh2iPKpqz_?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,12,13,11",https://docs.google.com/document/d/1crhSGP-wNhcWMirS4R3_X1_SIooDoaQB/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
104,2022/05267,Granted,"Manisha Kumavat, Kishanprasad Gunale, Shrivastava Jay, Bhoge Satyan, Kapil Tanmay, Chetan Vyas, Aayushi Lilha",Multipurpose drone integrated with self-driven action taking robot,"Dr. Vishwanath Karad MIT World Peace University, Manisha Kumavat, Kishanprasad Gunale, Shrivastava Jay, Bhoge Satyan, Kapil TAnmay, Chetan Vyas, Aayushi Lilha",5/12/2022,8/31/2022,2022/05267,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1-81-heFUZ-A5wQ1W9bDMKAA8h9KSNm1N?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,11,12,13,17",https://docs.google.com/document/d/1fXytFTOF74Ve9ITRMMw6h_cObi1e5vG_/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
105,2022/10820,Granted,"Vibha Patel, Krishna Warhade",A novel convolutional neural network based carrier frequency offset estimator for MIMO OFDM in 5G,"Dr. Vishwanath Karad MIT World Peace University, Vibha Patel, Krishna Warhade",9/30/2022,11/30/2022,2022/10820,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1j9SJNR9RmRTIe7i4SnAU820qJi7pcnTV?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"9,11,12,13,17",https://docs.google.com/document/d/1XzD8jShYfcRApr1jZgsg3f35taZu9nF3/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
106,2022/08511,Granted,"Pathak Nutan J., Bokil Shantini A",GRIPS FOR TENSION TEST ON GLOSSY FRP REBARS,"Dr. Vishwanath Karad MIT World Peace University, Pathak Nutan J., Bokil Shantini A",7/29/2022,10/26/2022,2022/08511,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1KNcOSRpvCy4VmGd_ZNYtETdXUlP9_tDv?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Civil Engineering,South Africa,"9,11,12,13,4,17",https://docs.google.com/document/d/1HFQn9TfVJaLEEjWcjO0l-MzRz1tddrqH/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
107,2022/05377,Granted,"Mangesh Mahajan, Naresh Chaudhari, Kaushik Najare, Arya Paradkar, Kundan Pednekar, Atharva Kher",A Laptop Stand,"Dr. Vishwanath Karad MIT World Peace University, Mangesh Mahajan, Naresh Chaudhari, Kaushik Najare, Arya Paradkar, Kundan Pednekar, Atharva Kher",5/16/2022,12/21/2022,2022/05377,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ldMTTjiHK4pwIQfpetTyZ2SkzWBkEuIf?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Polytechnic,South Africa,"3,9,8,12,11,4",https://docs.google.com/document/d/17yPHLOSovjyXVbHdzZ9YybINgB3P_MiR/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
108,2022/04701,Granted,Sagar Sonawane,A Warm Wall for houses,"Dr. Vishwanath Karad MIT World Peace University, Sagar Sonawane",4/28/2022,6/29/2022,2022/04701,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1nXs14WQKDch0donr9mQZpTEuuW1iqVWT?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Polytechnic,South Africa,"7,11,9,13,1,12,3",https://docs.google.com/document/d/1u59NLg8k2GWDqsTX36WmN7mYIfqlXtea/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
109,2022/04364,Granted,"Raju Ingale, Sachin Shinde, Sunil Karad, Kashmiri Khamkarm, Nitin shinde, Ishwar Patil",LOW COST ULTRASONICALLY SYNTHESIZED ZNO DOPED FLY ASH COMPOSITE FOR ADSORPTION AND PHOTODEGRADATION OF ORGANIC CONTAMINANT FROM WATER,"Dr. Vishwanath Karad MIT World Peace University, Raju Ingale",4/19/2022,6/29/2022,2022/04364,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1cBmxvrJiThnCYp_Ss-rYE2S8rhHi6FCD?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Polytechnic,South Africa,"6,12,9,14,13,3,15",https://docs.google.com/document/d/1N4Z_2Q10U-wliO_8zGZWWTIbm2UkNdm7/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
110,2022/05268,Granted,Anuradha PHADKE; Jyoti A LELE,IOT BASED AUTOMATIC BIRD FEEDER,Dr. Vishwanath Karad MIT World Peace University; Anuradha PHADKE; Jyoti A LELE ,5/12/2022,8/31/2022,2022/05268,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1ljN8Ejg-WG9N6O0HzpmonuDn_DWUAn1o?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Electrical and Electronics Engineering,South Africa,"15,13,7,9,12,4,17",https://docs.google.com/document/d/1wG00D8gJEvaakQughVWzvE4pn-xkbyQk/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
111,2022/10609,Granted,"NAIK Varsha Swapnil; DHUMAL, Isha Hanumant; DHANDE, Archita Aakash; GOVINDU Aditi; CHAUDHARI Himanshu",SMART SCANNER FOR FOOD ADDITIVES,"Dr. Vishwanath Karad MIT World Peace University; NAIK Varsha Swapnil; DHUMAL, Isha Hanumant; DHANDE, Archita Aakash; GOVINDU Aditi; CHAUDHARI Himanshu",9/26/2022,12/21/2022,2022/10609,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1TfLz1M3dCjpJ2PZC4QVgmI2LKy9cIz0Y?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,12,9,10,2,17,4",https://docs.google.com/document/d/1K64r7SN2Jbb58n-e2yQndLOWrcccNh2u/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
112,2022/05969,Granted,"MUNDHE, Pooja Venkatrao; KOLHE, Kishor Rambhau",A SYSTEM FOR EMOTION CLASSIFICATION FROM EEG SIGNALS USING DEEP LEARNING,Dr. Vishwanath Karad MIT World Peace University; MUNDHE Pooja Venkatrao; KOLHE Kishor Rambhau,5/30/2022,7/27/2022,2022/05969,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/drive/folders/1mWYG0c4ZyY6UWtm1wDjNNBM9WB6dN51u?usp=sharing,https://iponline.cipc.co.za/Account/Login.aspx?pb=aVMvEDtYJoBv4STTqmvCTpb7MWDx2eY0ESHMO1dLY8+DkrV5ADDUPw==,Computer Engineering & Technology,South Africa,"3,9,4,10,8,16,17",https://docs.google.com/document/d/14tXUY4XWAs_yI090EnIQGlidQNm7vF5n/edit?usp=drive_link&ouid=107653910869487429344&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
